"Item","MH_p_value","MH_alpha","Posterior_Mean","Lower95","Upper95","Bayesian_DIF","MH_DIF"
1,0.1913,1.7,0.285,-0.365,0.872,"No","No"
2,0.1427,1.77,0.276,-0.275,0.815,"No","No"
3,0.3191,1.448,0.326,-0.221,0.851,"No","No"
4,0.1647,1.939,0.442,-0.197,1.077,"No","No"
5,0.0857,1.98,0.311,-0.272,0.909,"No","No"
6,0.0019,2.88,0.802,0.266,1.356,"Yes","Yes"
7,0.9711,0.944,0.066,-0.516,0.619,"No","No"
8,0.4112,0.719,-0.345,-0.895,0.212,"No","No"
9,0.3656,1.528,0.459,-0.195,1.107,"No","No"
10,0.2018,1.685,0.288,-0.322,0.906,"No","No"
11,0.902,1.09,-0.081,-0.643,0.468,"No","No"
12,0.0424,2.346,0.56,-0.08,1.16,"No","Yes"
13,0.716,0.797,-0.32,-0.988,0.282,"No","No"
14,0.0972,0.499,-0.577,-1.14,0.006,"No","No"
15,0.7938,1.177,0.2,-0.376,0.792,"No","No"
16,0.0121,0.321,-0.878,-1.515,-0.232,"Yes","Yes"
17,0.0089,0.375,-0.824,-1.392,-0.261,"Yes","Yes"
18,0.6414,0.793,-0.11,-0.7,0.504,"No","No"
19,0.0162,0.462,-0.72,-1.278,-0.163,"Yes","Yes"
20,0.0486,0.473,-0.571,-1.184,0.017,"No","Yes"
21,0.5846,0.637,-0.191,-0.935,0.586,"No","No"
22,0.2895,0.644,-0.445,-1.036,0.114,"No","No"
23,0.2287,0.639,-0.42,-0.974,0.15,"No","No"
24,0.3597,1.605,0.364,-0.299,1.083,"No","No"
